departamento,municipio,codigo_dane_municipio,latitud,longitud,altitud_msnm,radiacion_kWhm2_dia,viento_ms,temperatura_C,humedad_relativa_pct,nubosidad_pct,tipo_red,demanda_kWh_mes,relieve_indice,potencial
ANTIOQUIA,MEDELLÍN,5001,6.246631,-75.581775,1476.0,4.926316666666667,0.7374999999999999,17.685,87.97250000000001,30.24025866748483,ZNI,,,solar
ANTIOQUIA,ABEJORRAL,5002,5.789315,-75.428739,2162.0,4.785566666666667,0.7374999999999999,17.685,87.97250000000001,31.97690189226805,ZNI,,,solar
ANTIOQUIA,ABRIAQUÍ,5004,6.632282,-76.064304,1925.0,4.133583333333333,1.475833333333333,20.331666666666667,90.39583333333331,40.6809557920467,ZNI,,,desconocido
ANTIOQUIA,ALEJANDRÍA,5021,6.376061,-75.141346,1647.0,4.926316666666667,0.8191666666666667,20.826666666666668,84.425,30.24025866748483,ZNI,,,solar
ANTIOQUIA,AMAGÁ,5030,6.038708,-75.702188,1390.0,4.926316666666667,0.7374999999999999,17.685,87.97250000000001,30.24025866748483,ZNI,,,solar
ANTIOQUIA,AMALFI,5031,6.909655,-75.077501,1550.0,4.926316666666667,0.8158333333333333,22.218333333333334,85.71416666666666,30.24025866748483,ZNI,,,solar
ANTIOQUIA,ANDES,5034,5.657194,-75.878828,1282.0,4.785566666666667,0.7416666666666667,17.756666666666668,87.43666666666667,31.97690189226805,ZNI,,,solar
ANTIOQUIA,ANGELÓPOLIS,5036,6.109719,-75.711389,1845.0,4.926316666666667,0.7374999999999999,17.685,87.97250000000001,30.24025866748483,ZNI,,,solar
ANTIOQUIA,ANGOSTURA,5038,6.885175,-75.335116,1668.0,4.926316666666667,1.2275,17.845,89.19916666666667,30.24025866748483,ZNI,,,solar
ANTIOQUIA,ANORÍ,5040,7.074703,-75.148355,1572.0,4.669125,0.8158333333333333,22.218333333333334,85.71416666666666,31.04978045995117,ZNI,,,solar
ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,5042,6.556484,-75.826648,569.0,4.926316666666667,1.0266666666666666,16.413333333333334,88.39999999999999,30.24025866748483,ZNI,,,solar
ANTIOQUIA,ANZÁ,5044,6.302641,-75.854442,655.0,4.926316666666667,1.0266666666666666,16.413333333333334,88.39999999999999,30.24025866748483,ZNI,,,solar
ANTIOQUIA,APARTADÓ,5045,7.882968,-76.625279,29.0,4.287316666666666,1.485,25.7475,88.37916666666666,37.1675968783967,ZNI,,,desconocido
ANTIOQUIA,ARBOLETES,5051,8.849317,-76.426708,12.0,4.801733333333334,2.2358333333333333,27.386666666666667,83.86833333333333,28.126282439082186,ZNI,,,solar
ANTIOQUIA,ARGELIA,5055,5.731474,-75.14107,1727.0,4.785566666666667,0.7158333333333333,21.468333333333334,81.18416666666667,31.97690189226805,ZNI,,,solar
ANTIOQUIA,ARMENIA,5059,6.155667,-75.786647,1772.0,4.926316666666667,0.7374999999999999,17.685,87.97250000000001,30.24025866748483,ZNI,,,solar
ANTIOQUIA,BARBOSA,5079,6.439195,-75.331627,1291.0,4.926316666666667,1.0266666666666666,16.413333333333334,88.39999999999999,30.24025866748483,ZNI,,,solar
ANTIOQUIA,BELMIRA,5086,6.606319,-75.667779,2528.0,4.926316666666667,1.0266666666666666,16.413333333333334,88.39999999999999,30.24025866748483,ZNI,,,solar
ANTIOQUIA,BELLO,5088,6.333587,-75.555245,1434.0,4.926316666666667,1.0266666666666666,16.413333333333334,88.39999999999999,30.24025866748483,ZNI,,,solar
ANTIOQUIA,BETANIA,5091,5.74615,-75.97679,1513.0,4.785566666666667,1.1966666666666663,21.308333333333334,90.51333333333334,31.97690189226805,ZNI,,,solar
ANTIOQUIA,BETULIA,5093,6.115208,-75.984452,1631.0,4.926316666666667,1.1133333333333333,20.641666666666666,91.29583333333332,30.24025866748483,ZNI,,,solar
ANTIOQUIA,CIUDAD BOLÍVAR,5101,5.850273,-76.021509,1195.0,3.982375,1.1133333333333333,20.641666666666666,91.29583333333332,42.093356340001066,ZNI,,,desconocido
ANTIOQUIA,BRICEÑO,5107,7.112803,-75.55036,1257.0,4.669125,1.2275,17.845,89.19916666666667,31.04978045995117,ZNI,,,solar
ANTIOQUIA,BURITICÁ,5113,6.720759,-75.907,1639.0,4.926316666666667,1.0266666666666666,16.413333333333334,88.39999999999999,30.24025866748483,ZNI,,,solar
ANTIOQUIA,CÁCERES,5120,7.578366,-75.35205,95.0,4.669125,0.9708333333333332,23.18166666666667,86.31166666666667,31.04978045995117,ZNI,,,solar
ANTIOQUIA,CAICEDO,5125,6.405607,-75.98293,1794.0,4.926316666666667,1.475833333333333,20.331666666666667,90.39583333333331,30.24025866748483,ZNI,,,solar
ANTIOQUIA,CALDAS,5129,6.091077,-75.633673,1746.0,4.926316666666667,0.7374999999999999,17.685,87.97250000000001,30.24025866748483,ZNI,,,solar
ANTIOQUIA,CAMPAMENTO,5134,6.979771,-75.298091,1733.0,4.926316666666667,0.8158333333333333,22.218333333333334,85.71416666666666,30.24025866748483,ZNI,,,solar
ANTIOQUIA,CAÑASGORDAS,5138,6.753859,-76.028228,1258.0,4.133583333333333,1.6075,20.925833333333333,89.63083333333333,40.6809557920467,ZNI,,,desconocido
ANTIOQUIA,CARACOLÍ,5142,6.409829,-74.757421,616.0,5.282691666666667,0.8191666666666667,20.826666666666668,84.425,21.929511273565627,ZNI,,,solar
ANTIOQUIA,CARAMANTA,5145,5.54853,-75.643868,2116.0,4.785566666666667,0.7416666666666667,17.756666666666668,87.43666666666667,31.97690189226805,ZNI,,,solar
